               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.017976,           0.0084526,                   0,             0.98764,             0.98658,              0.9926,             0.91296,            0.010603,           0.0027272,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.017626,           0.0081979,                   0,             0.98836,             0.98737,              0.9919,             0.91766,            0.010095,           0.0026846,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.017356,            0.008109,                   0,             0.98738,             0.99013,             0.99222,             0.92209,           0.0098983,           0.0026587,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.017858,           0.0085578,                   0,             0.98555,             0.99329,             0.99223,             0.92564,            0.009585,            0.002652,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.018064,           0.0085563,                   0,             0.98702,             0.99006,             0.99213,             0.91821,           0.0098091,           0.0026765,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.017332,           0.0082483,                   0,             0.98725,             0.99171,             0.99247,             0.91349,            0.010046,           0.0026738,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.017605,           0.0083716,                   0,             0.98816,             0.98847,             0.99208,             0.92447,           0.0096693,           0.0025694,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.017684,            0.008506,                   0,             0.98564,             0.99132,             0.99268,             0.92151,           0.0098151,           0.0026415,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.016908,           0.0082411,                   0,             0.98633,             0.98777,             0.99248,             0.92119,           0.0097773,           0.0026361,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.017472,           0.0081101,                   0,             0.98608,             0.99092,             0.99236,             0.91493,            0.010295,           0.0026701,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.017553,           0.0083588,                   0,             0.98388,               0.985,              0.9918,             0.91249,            0.010465,           0.0027067,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.017678,           0.0081499,                   0,              0.9847,             0.98895,             0.99267,             0.91806,            0.010056,           0.0026381,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.017677,           0.0084394,                   0,             0.98779,              0.9896,             0.99217,             0.91985,           0.0099377,           0.0026244,                   0,            0.008317,            0.008317,            0.008317
